LATITUDE,LONGITUDE,DATE,EVAP,PRCP,TMAX,TMIN
28.71583,-97.17444,20031114,41,0,256,117
28.71583,-97.17444,20031117,-9999,-9999,300,194
28.71583,-97.17444,20031118,8,452,267,161
28.71583,-97.17444,20031119,56,0,256,89
28.71583,-97.17444,20031120,36,0,239,67
28.71583,-97.17444,20031121,30,0,250,117
28.71583,-97.17444,20031122,25,0,267,139
28.71583,-97.17444,20031123,28,0,272,178
28.71583,-97.17444,20031124,28,0,267,22
28.71583,-97.17444,20031125,33,0,128,6
28.71583,-97.17444,20031126,20,0,206,61
28.71583,-97.17444,20031127,13,0,267,167
28.71583,-97.17444,20031128,48,0,267,44
28.71583,-97.17444,20031129,38,0,178,6
28.71583,-97.17444,20031130,28,0,194,-9999
28.71583,-97.17444,20031201,18,0,267,6
28.71583,-97.17444,20031202,18,0,250,117
28.71583,-97.17444,20031203,23,0,228,106
28.71583,-97.17444,20031204,18,0,250,106
28.71583,-97.17444,20031205,23,0,206,83
28.71583,-97.17444,20031206,36,0,161,17
28.71583,-97.17444,20031207,25,0,133,0
28.71583,-97.17444,20031208,23,0,200,33
28.71583,-97.17444,20031209,25,0,250,139
28.71583,-97.17444,20031210,41,0,250,39
28.71583,-97.17444,20031211,36,0,172,11
28.71583,-97.17444,20031212,23,0,200,11
28.71583,-97.17444,20031213,23,241,139,100
28.71583,-97.17444,20031214,20,89,156,11
28.71583,-97.17444,20031215,23,0,189,11
28.71583,-97.17444,20031216,25,0,239,83
28.71583,-97.17444,20031217,48,0,33,11
28.71583,-97.17444,20031218,28,0,194,33
28.71583,-97.17444,20031219,33,0,194,50
28.71583,-97.17444,20031220,28,0,189,11
28.71583,-97.17444,20031221,28,0,200,11
28.71583,-97.17444,20031222,18,0,228,11
28.71583,-97.17444,20031223,20,0,239,94
28.71583,-97.17444,20031224,43,0,183,11
28.71583,-97.17444,20031225,18,0,172,22
28.71583,-97.17444,20031226,15,0,194,89
28.71583,-97.17444,20031227,18,0,256,156
28.71583,-97.17444,20031228,13,0,233,172
28.71583,-97.17444,20031229,5,328,228,78
28.71583,-97.17444,20031230,33,0,161,-17
28.71583,-97.17444,20031231,25,0,172,28
28.71583,-97.17444,20040101,10,3,211,28
28.71583,-97.17444,20040102,18,0,256,194
28.71583,-97.17444,20040103,10,0,250,189
28.71583,-97.17444,20040104,13,0,250,194
28.71583,-97.17444,20040105,51,0,244,83
28.71583,-97.17444,20040106,28,0,100,22
28.71583,-97.17444,20040107,15,0,61,17
28.71583,-97.17444,20040108,10,109,94,56
28.71583,-97.17444,20040109,8,3,156,78
